county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,vote_diff,cumulative_at_least_one_dose_per_capita
Siskiyou,2021-04-01,824,21131,666,7467,158,13229,0,435,210,4618,614,8460,210,13078,California,0.15765458422174838,0.30052623112806487
Solano,2021-04-01,5600,237932,2117,118267,3329,116647,154,3018,3530,67031,2056,86730,3684,153761,California,-0.3028358216206499,0.3405717652426802
Sonoma,2021-04-01,7005,334487,4085,164017,2568,162779,352,7691,3770,76878,3202,132088,4111,208966,California,-0.514862890118247,0.4302172847843005
Stanislaus,2021-04-01,5946,233351,3874,119331,1956,106475,116,7545,2751,76695,3160,81300,2874,157995,California,-0.007892924291219128,0.28430275242564707
Sutter,2021-04-01,1394,44842,742,15995,464,27697,188,1150,426,10186,957,17812,613,27998,California,0.16435272045028143,0.28506266735901115
Tehama,2021-04-01,570,21174,274,4851,291,15862,5,461,426,6144,143,7730,431,13874,California,0.3561853695901953,0.20640918828850274
Trinity,2021-04-01,41,5032,10,500,20,4340,11,192,22,1230,19,1994,33,3224,California,0.053851070629594155,0.2750618547905469
Tulare,2021-04-01,4578,190760,2484,102207,2023,84836,71,3717,1564,55352,3002,69364,1634,124716,California,0.07814372888743598,0.26568841112297004
Tuolumne,2021-04-01,1259,30725,29,7744,1230,22734,0,247,228,6343,1029,12285,228,18628,California,0.18785566264267622,0.3407976582510062
Ventura,2021-04-01,10950,460147,5303,220394,4768,230129,879,9624,5453,123289,5437,172680,6324,295969,California,-0.21098041627828856,0.3516182071770892
Yolo,2021-04-01,3866,128606,1870,58615,1520,67554,476,2437,1588,29898,2275,50479,2063,80377,California,-0.4143979272906728,0.3632628895798684
Yuba,2021-04-01,639,23327,295,7121,315,15529,29,677,293,6190,346,8889,322,15079,California,0.21640312888172697,0.18641364816417358
